no;questions;category0
505;What deck of cards includes the Wheel of Fortune , the Lovers , and Death ?;ENTITY
506;What does the Statue of Liberty wear on her feet ?;ENTITY
507;Who is the superstar in rent-a-cars ?;HUMAN
508;McCarren Airport is located in what city ?;LOCATION
509;What household facility contains a float ball , ballcock , and overflow tube ?;ENTITY
510;What was the name of Betty Boop 's dog ?;ENTITY
511;What fraction of a beaver 's life is spent swimming ?;NUMERIC
512;What was the Bridge of San Luis Rey made of ?;ENTITY
513;What do economists do ?;DESCRIPTION
514;What country has the largest sheep population ?;LOCATION
515;What do I need to do to take my dog with me to live in Dominica , West Indies for a year ?;DESCRIPTION
516;What country is the world 's largest importer of cognac ?;LOCATION
517;How many years is Johnnie Walker Black Label aged ?;NUMERIC
518;What does SIDS stand for ?;ABBREVIATION
519;What is Grenada 's main commodity export ?;ENTITY
520;How much would a black-and-white 1-cent stamp be worth , Thomas Jefferson on it , ?;NUMERIC
521;What makes a clitoris sensitive ?;DESCRIPTION
522;What country has the most time zones , with 11 ?;LOCATION
523;What `` magic '' does Mandrake employ ?;ENTITY
524;Who is the president of Stanford University ?;HUMAN
525;Whose first presidential order was : `` Let 's get this goddamn thing airborne '' ?;HUMAN
526;What was introduced commercially by Bayer A.G. of Leverkusen , in 1899 ?;ENTITY
527;What city is Logan Airport in ?;LOCATION
528;What is a nanometer ?;DESCRIPTION
529;How many innings are there in a regulation softball game ?;NUMERIC
530;When did CNN go on the air ?;NUMERIC
531;What is the largest city on the Great Lakes ?;LOCATION
532;What is the telephone number for the University of Kentucky ?;NUMERIC
533;Who invented baseball ?;HUMAN
534;How many wives did Brigham Young have ?;NUMERIC
535;What product on the market is good for hiding facial scars ?;ENTITY
536;How long is the Coney Island boardwalk ?;NUMERIC
537;What city gained renown for its pea-soup fogs ?;LOCATION
538;What does `` Janelle '' mean ?;DESCRIPTION
539;How do I get another city 's newspaper ?;DESCRIPTION
540;Name a movie about the Sioux Indians starring Kevin Costner .;ENTITY
541;Who was shot in the back during a Poker game in Deadwood , the Dakota territory ?;HUMAN
542;What are the distinct physical characterstics of the Arabian horse ?;DESCRIPTION
543;What is a fear of thunder ?;ENTITY
544;What animal has killed the most people ?;ENTITY
545;How many colleges are in Wyoming ?;NUMERIC
546;What Russian seaport has a name meaning `` Lord of the East '' ?;LOCATION
547;Where can stocks be traded on-line ?;LOCATION
548;When was the Battle of Hastings ?;NUMERIC
549;What kind of file has the extension .dbf ?;ENTITY
550;When did Muhammad live ?;NUMERIC
551;What then-derogatory term was applied to the painters Monet , Sisley , Pissarro , Renoir and Degas ?;ENTITY
552;What is a wop ?;DESCRIPTION
553;Where do rocks come from ?;DESCRIPTION
554;How do I stop background noise in a car stereo ?;DESCRIPTION
555;Where do people mountain climb in Nepal ?;LOCATION
556;What is the best college in the country ?;HUMAN
557;What is viscosity ?;DESCRIPTION
558;What was the name of the sitcom that Alyssa Milano starred in with Tony Danza ?;ENTITY
559;What are the Nordic nations ?;LOCATION
560;Where on the Internet can I get information about the Fifth Amendment on the American Bill of Rights ?;LOCATION
561;What U.S. state borders Illinois to the north ?;LOCATION
562;Name a film in which Jude Law acted .;ENTITY
563;What is the temperature for baking Peachy Oat Muffins ?;NUMERIC
564;What is a fear of bees ?;ENTITY
565;What Vladimir Nabokov novel features Professor Humbert in love with a 12-year-old girl ?;ENTITY
566;What is a green bog ?;DESCRIPTION
567;Where did the myth of Santa Claus originate ?;LOCATION
568;What does a chairbound basophobic fear ?;ENTITY
569;What city is served by Logan International Airport ?;LOCATION
570;What wrestling star became `` The Incredible Hulk '' ?;HUMAN
571;What attracts tourists to Reims ?;LOCATION
572;What game do Steve McQueen and Edward G. Robinson play in The Cincinnati Kid ?;ENTITY
573;What fastener did Whitcomb Judson patent in 1893 ?;ENTITY
574;What 's an auberge in France ?;DESCRIPTION
575;Who was the star of the 1965 Broadway hit Golden Boy ?;HUMAN
576;Where is Procter &amp;
577;What army was founded by William Booth and his wife Catherine ?;HUMAN
578;What does ribavirin consist of ?;ENTITY
579;Name the soft drink that is `` number one in the sun . '';ENTITY
580;What is the web address of the list of e-mail addresses of members of the House of Representatives ?;LOCATION
581;What was her real name ?;HUMAN
582;Why are the ears your center of balance ?;DESCRIPTION
583;Who invented the toothbrush ?;HUMAN
584;What was the name of that popular song the Creeps sang ?;ENTITY
585;Where is the Abominable Snowman said to wander ?;LOCATION
586;What is a fear of being alone ?;ENTITY
587;How many dots make up the symbol for `` because '' ?;NUMERIC
588;What do you get by adding Lactobacillus bulgaricus to milk ?;ENTITY
589;When reading classified ads , what does EENTY : other stand for ?;ABBREVIATION
590;How many hearts does an octopus have ?;NUMERIC
591;What plant has the largest seed ?;ENTITY
592;What was the only country you were allowed to drive into Israel from in 1979 ?;LOCATION
593;What 's approaching when a cyclist shouts : `` Oil '' ?;ENTITY
594;What baseball star turned down a $1 , 000-a-year contract because he felt he had n't earned it ?;HUMAN
595;What kind of sport is often associated with hooligans ?;ENTITY
596;What video game hero do some of his fans call Chomper ?;HUMAN
597;How many holes are there in a tenpin bowling ball ?;NUMERIC
598;What is the longest word in the English language ?;ENTITY
599;In What city or state do the most gay men live in ?;LOCATION
600;What TV comediennes 's characters include former movie star Nora Desmond , secretary Mrs. Wiggins and a housewife named Eunice ?;HUMAN
601;What is `` the bear of beers '' ?;ENTITY
602;Name the operating system that runs on IBM-compatible machines .;ENTITY
603;What does the name `` Justin '' mean ?;DESCRIPTION
604;What percentage of the body is muscle ?;NUMERIC
605;What color of dry wine should be served with veal roasts and chops ?;ENTITY
606;What is a golf ball made of ?;ENTITY
607;What is the Amish religion ?;DESCRIPTION
608;What does an average daycare provider get paid in New England ?;NUMERIC
609;What was the name of the 187s Irish terrorist group in Pennsylvania mining areas ?;HUMAN
610;Who played the Ringo Kid in the 1939 film Stagecoach ?;HUMAN
611;Who died 1 feet from where John F. Kennedy did ?;HUMAN
612;What is the `` coppertop '' battery ?;DESCRIPTION
613;What sign is The Water Carrier the zodiacal symbol for ?;ENTITY
614;What animals do you find in the stock market ?;ENTITY
615;What is color ?;DESCRIPTION
616;When is the site www.questions.com going to open ?;NUMERIC
617;What did Shostakovich write for Rostropovich ?;ENTITY
618;What first name was Nipsy Russell given at birth ?;HUMAN
619;How can I get some free technical information on Electric Vehicle ?;DESCRIPTION
620;Who is the youngest of the Beatles ?;HUMAN
621;How did shipyard inspector James J. Kilroy designate equipment as being satisfactory ?;DESCRIPTION
622;What is a Jellicle Cat ?;DESCRIPTION
623;Where can I find the best free evidence for debate about Russia ?;LOCATION
624;What is Bill Gates of Microsoft E-mail address ?;LOCATION
625;What is the second hardest substance ?;ENTITY
626;Why did several San Diego schools stop serving apples to students ?;DESCRIPTION
627;What Russian city boasts the Hermitage Museum ?;LOCATION
628;When is Bastille Day ?;NUMERIC
629;What makes a tornado turn ?;DESCRIPTION
630;How many shots can a stock M16 hold ?;NUMERIC
631;What two colors are you blind to if you suffer from protanopia ?;ENTITY
632;Why do n't you guys have some sort of contest where you ask a question and whoever finds the answers wins a prize ?;DESCRIPTION
633;Who is Coronado ?;HUMAN
634;What was the name of the movie that starred Sharon Stone and Arnold Schwarzenegger ?;ENTITY
635;What is artificial intelligence ?;DESCRIPTION
636;What do flatfish eat ?;ENTITY
637;Who was the first Holy Roman Emperor ?;HUMAN
638;What can I use to remove the stubborn gummed labels from some diskettes ?;ENTITY
639;What day of the week sees the most fatal car accidents ?;NUMERIC
640;What is the origin of the word , magic ?;DESCRIPTION
641;What sport do you shag flies in ?;ENTITY
642;What is white chocolate ?;DESCRIPTION
643;Where is Trinidad ?;LOCATION
644;Name the organization that is presided by a Security Council .;HUMAN
645;Who graced the airwaves with such pearls as `` Do ya lo-o-ove me ? Get naked , baby ! '' ?;HUMAN
646;What kind of wine is Spumante ?;ENTITY
647;Who portrayed portly criminologist Carl Hyatt on Checkmate ?;HUMAN
648;How do you say I love you in Spanish ?;ENTITY
649;What does the name Gina mean ?;DESCRIPTION
650;What is the most advanced handheld calculator in the world ?;ENTITY
651;How fast is light ?;NUMERIC
652;What is the belt of low pressure around the equator called ?;ENTITY
653;What are shooting stars ?;DESCRIPTION
654;Whom did the Chicago Bulls beat in the 1993 championship ?;HUMAN
655;When was the first American encyclopedia published ?;NUMERIC
656;What 's the tallest building in New York City ?;LOCATION
657;How is Easter Sunday 's date determined ?;DESCRIPTION
658;What is the Motto for the State of Maryland ?;DESCRIPTION
659;Who is Desmond Tutu ?;HUMAN
660;Where can I find information on the Narragansett Indians and other tribes in Rhode Island ?;LOCATION
661;Name a tiger that is extinct .;ENTITY
662;How many quarters equal a pound ?;NUMERIC
663;What kind of books does Fodor 's publish ?;ENTITY
664;What are the first names of Rowan and Martin , the stars of TV 's Laugh-In ?;HUMAN
665;What chapter of the Bible has the most verses ?;NUMERIC
666;Who is the worst US President ever ?;HUMAN
667;What Asian leader was known as The Little Brown Saint ?;HUMAN
668;What is the abbreviated expression for the National Bureau of Investigation ?;ABBREVIATION
669;How fast does the fastest car go ?;NUMERIC
670;What is the highest mountain in the world ?;LOCATION
671;What arch can you see from the Place de la Concorde ?;LOCATION
672;Who sings the song `` Drink to me with thine eyes '' by Ben Johnson ?;HUMAN
673;How long should a person wash their hands before they are clean ?;NUMERIC
674;Which way do you turn your Bic to increase the flame - clockwise or counterclockwise ?;LOCATION
675;Which is the wealthiest country in the world ?;LOCATION
676;How can I find a phone number of someone if I only know their email address ?;DESCRIPTION
677;How can you contact play producers and promoters on-line ?;DESCRIPTION
678;Who is the monarch of the United Kingdom ?;HUMAN
679;What is a fear of passing high objects ?;ENTITY
680;What do players try to do when the music stops in a game of musical chairs ?;DESCRIPTION
681;What are the top ten most common girl names in the US ?;HUMAN
682;Why is black the color of mourning in the West ?;DESCRIPTION
683;What is the rarest coin ?;ENTITY
684;What Judith Rossner novel was made into a film starring Diane Keaton ?;ENTITY
685;Which country is Australia 's largest export market ?;LOCATION
686;Where is the Kentucky Horse Park located ?;LOCATION
687;What is a fear of parasites ?;ENTITY
688;In what Olympic Games did Nadia Comaneci become popular ?;ENTITY
689;Who does data collection in tourism ?;HUMAN
690;What was the name of the daughter of the Virginia chief Powhatan that married John Rolfe ?;HUMAN
691;What is the leading pecan and peanut growing state ?;LOCATION
692;What does a nihilist believe in ?;DESCRIPTION
693;What did Richard Feynman say upon hearing he would receive the Nobel Prize in Physics ?;DESCRIPTION
694;In what sport are these following numbers relevant : 118 , 126 , 134 , 142 , 15 , 158 , 167 , 177 , and 19 ?;ENTITY
695;Who were the four famous founders of United Artists ?;HUMAN
696;What 2 statues did France give to other countries ?;ENTITY
697;What are amphibians ?;DESCRIPTION
698;How many sperm cells are in an average ejaculation ?;NUMERIC
699;Name the disposable razor that `` costs about 19 cents . '';ENTITY
700;How far do you have to run if you hit a home run ?;NUMERIC
701;Who was the only U.S. President to wear a Nazi uniform ?;HUMAN
702;Woodrow Wilson served as president of what university ?;HUMAN
703;Where are the tropical rain forest distributions ?;LOCATION
704;What 's the nickname of oddsmaker Jimmy Snyder ?;HUMAN
705;What is the fear of being loved ?;ENTITY
706;What was the number of people that Randy Steven Craft was convicted of killing ?;NUMERIC
707;What was Queen Victoria 's title regarding India ?;HUMAN
708;How is a hydrogen bomb different from a nuclear bomb ?;DESCRIPTION
709;How far can a man travel in outer space ?;NUMERIC
710;Where was Lincoln assassinated ?;LOCATION
711;What type of food makes you fat ?;ENTITY
712;What is the name of the chronic neurological autoimmune disease which attacks the protein sheath that surrounds nerve cells causing a gradual loss of movement in the body ?;ENTITY
713;What was the U.S. highway death toll in 1969 ?;NUMERIC
714;What kind of animals are Dorsets , Lincolns , Oxfords and Southdowns ?;ENTITY
715;What are the shortest and the longest songs ever produced ?;ENTITY
716;What letter is to the right of K on a typewriter keyboard ?;ENTITY
717;What is the origin and the meaning of the name , `` Hajo ? '';DESCRIPTION
718;What is the plural of gulf ?;ENTITY
719;Whose autobiography is titled Yes I Can ?;HUMAN
720;What year did the United States pass the Copyright law ?;NUMERIC
